date,% WEIGHTED ILI,%UNWEIGHTED ILI,AGE 0-4,AGE 5-24,ILITOTAL,NUM. OF PROVIDERS,RESIDUALS,OT
2002-01-01 00:00:00,1.22262,1.16668,582,805,2060,754,-455871.1199576471,176569
2002-01-08 00:00:00,1.33344,1.2165,683,872,2267,785,4766.129432240647,186355
2002-01-15 00:00:00,1.31929,1.13057,642,878,2176,831,1249.65811256881,192469
2002-01-22 00:00:00,1.49484,1.25246,728,1045,2599,863,107.91623108409112,207512
2002-01-29 00:00:00,1.47195,1.30237,823,1189,2907,909,15524.070260971144,223208
2002-02-05 00:00:00,1.58094,1.40551,887,1272,3225,930,1299.1775650229538,229454
2002-02-12 00:00:00,1.49426,1.38437,851,1173,3097,923,-7326.476397528313,223712
2002-02-19 00:00:00,1.40569,1.32563,802,1166,2967,922,-5620.919851069571,223818
2002-02-26 00:00:00,1.6141,1.43475,834,978,2709,918,-38479.96420765703,188814
2002-03-05 00:00:00,1.45967,1.25433,857,1117,3049,937,39077.47129792062,243078
2002-03-12 00:00:00,1.59896,1.25757,804,1179,2957,928,-4674.243695392099,235136
2002-03-19 00:00:00,2.16697,1.58017,951,1404,3416,908,-22635.706964066805,216179
2002-03-26 00:00:00,2.57842,1.98008,915,937,2857,865,-79651.2212836335,144287
2002-04-02 00:00:00,2.38636,1.90428,1028,1019,3260,879,4137.420921690908,171193
2002-04-09 00:00:00,1.7362099999999998,1.5901,1068,1296,3729,926,55103.888080816105,234513
2002-04-16 00:00:00,2.06296,1.81559,1154,1798,4204,902,4357.1722121411,231550
2002-04-23 00:00:00,2.58113,2.41801,1373,2998,5696,927,12299.645421433554,235566
2002-04-30 00:00:00,2.93909,2.86635,1411,4064,7079,884,12565.43240159226,246969
2002-05-07 00:00:00,3.22539,3.16662,1606,4447,7782,889,14150.966221264534,245751
2002-05-14 00:00:00,3.06982,3.0155,1568,4224,7649,903,11988.327728781383,253656
2002-05-21 00:00:00,3.20044,2.9978,1694,3689,7228,871,-23269.015555762628,241110
2002-05-28 00:00:00,2.44888,2.31957,1336,2583,5606,857,-3411.5090816157463,241683
2002-06-04 00:00:00,2.1344,1.94707,1015,2103,4450,839,-38593.50734093244,228549
2002-06-11 00:00:00,1.99866,1.72985,880,1669,3810,835,-18848.39804264056,220250
2002-06-18 00:00:00,1.93849,1.51837,737,1321,2987,795,-38682.666824097454,196724
2002-06-25 00:00:00,1.41293,1.22616,624,1016,2439,775,-14517.0004843988,198913
2002-07-02 00:00:00,1.23472,1.05433,506,846,2028,741,-13269.34661822382,192349
2002-07-09 00:00:00,1.20005,1.07108,569,799,2082,735,1962.6734703163384,194383
2002-07-16 00:00:00,0.910135,0.8261200000000001,440,539,1467,669,-16540.4255981904,177577
2002-07-23 00:00:00,0.932265,0.8205049999999999,429,508,1445,682,-6569.201851724763,176111
2002-07-30 00:00:00,0.692175,0.630846,275,444,1075,655,-8626.329901540652,170406
2002-08-06 00:00:00,0.6694060000000001,0.63935,215,471,1005,613,-19349.191506550327,157191
2002-08-13 00:00:00,0.727705,0.586609,248,283,836,547,-9550.95753439897,142514
2002-08-20 00:00:00,0.717701,0.7730239999999999,264,262,740,406,-45763.2137117594,95728
2002-08-27 00:00:00,0.7893939999999999,0.790743,213,205,641,393,-4288.4810456488485,81063
2002-09-03 00:00:00,0.722129,0.711847,201,195,563,344,-9225.573883408157,79090
2002-09-10 00:00:00,0.591326,0.794637,198,187,620,341,912.97242671813,78023
2002-09-17 00:00:00,0.52307,0.586604,139,123,423,322,-31.74793108359154,72110
2002-09-24 00:00:00,0.4502359999999999,0.6159819999999999,122,124,441,322,-8512.416052012224,71593
2002-10-01 00:00:00,0.397421,0.4915069999999999,109,91,318,310,-4970.532121933706,64699
2002-10-08 00:00:00,0.448002,0.604341,137,141,441,308,2457.290468266729,72972
2002-10-15 00:00:00,0.474767,0.524478,98,98,365,301,4616.520852381327,69593
2002-10-22 00:00:00,0.453251,0.590692,112,139,420,302,-3779.141026088284,71103
2002-10-29 00:00:00,0.3521579999999999,0.505135,100,120,361,290,4070.625044473534,71466
2002-11-05 00:00:00,0.5253220000000001,0.634271,136,125,443,295,-1825.164440042252,69844
2002-11-12 00:00:00,0.492991,0.610118,120,131,421,283,2050.741126637382,69003
2002-11-19 00:00:00,0.542728,0.641227,159,144,450,277,-969.1160611879022,70178
2002-11-26 00:00:00,0.490347,0.661429,166,155,463,276,2503.7685810009425,70000
2002-12-03 00:00:00,0.7359140000000001,0.7926810000000001,177,182,519,271,-4571.123182245181,65474
2002-12-10 00:00:00,0.581771,0.639059,145,184,475,267,9751.66066287701,74328
2002-12-17 00:00:00,0.654162,0.636732,136,183,461,264,-7014.685191204175,72401
2002-12-24 00:00:00,0.749504,0.747829,135,221,533,268,-944.2019137638416,71273
2002-12-31 00:00:00,0.884021,0.960873,808,881,2442,830,182326.2120820552,254144
2003-01-07 00:00:00,1.02773,1.04325,913,1132,2932,931,12897.547276406607,281045
2003-01-14 00:00:00,1.28296,1.0545,878,1147,3031,974,-3938.433387828176,287436
2003-01-21 00:00:00,1.32661,1.11231,1006,1369,3475,1007,12358.555682354548,312412
2003-01-28 00:00:00,1.7730400000000002,1.41274,1207,2080,4690,1074,23186.71419910144,331980
2003-02-04 00:00:00,2.43814,1.7270299999999998,1542,2735,5790,1111,-424.2259835214936,335258
2003-02-11 00:00:00,2.72605,2.407,2185,4133,8385,1141,-1074.3051578838497,348359
2003-02-18 00:00:00,3.73192,3.10962,2561,5684,11141,1129,17077.204348689294,358275
2003-02-25 00:00:00,4.54894,4.30779,3247,4933,11742,1118,-81015.53743160923,272576
2003-03-04 00:00:00,5.39906,4.8303,4734,7817,18948,1189,117850.81555098738,392274
2003-03-11 00:00:00,7.38735,6.42905,6620,11550,24962,1173,-5405.297981195385,388269
2003-03-18 00:00:00,7.48097,6.86734,6434,9851,23699,1148,-49943.24537381169,345097
2003-03-25 00:00:00,7.627969999999999,7.064960000000001,5336,5231,16415,1122,-147195.61347695696,232344
2003-04-01 00:00:00,5.14051,4.55115,3391,2894,11332,1139,-4206.247512662143,248992
2003-04-08 00:00:00,2.89129,2.41833,1930,2299,7602,1160,-39197.28356671863,314349
2003-04-15 00:00:00,2.10429,1.80906,1679,1857,5583,1141,-25973.7528935906,308614
2003-04-22 00:00:00,1.88696,1.71202,1721,1604,4961,1084,-15503.16168010037,289774
2003-04-29 00:00:00,1.7766,1.5425,1487,1543,4436,1071,-6874.669714464282,287586
2003-05-06 00:00:00,1.46001,1.43787,1454,1448,4251,1054,-4325.303073207673,295646
2003-05-13 00:00:00,1.3778700000000002,1.32427,1420,1297,3824,986,-2376.894368446083,288762
2003-05-20 00:00:00,1.30532,1.30726,1301,1255,3691,1004,-2207.1351255283807,282347
2003-05-27 00:00:00,1.08691,1.03698,956,1038,2916,948,-10546.417719413645,281202
2003-06-03 00:00:00,0.991888,1.01032,925,910,2744,894,-9629.455772539775,271597
2003-06-10 00:00:00,1.02765,1.05249,878,888,2708,897,-4997.571618668968,257294
2003-06-17 00:00:00,1.0579,1.02009,730,826,2487,849,-20742.49589642108,243802
2003-06-24 00:00:00,0.849361,0.924419,760,733,2300,859,2386.383019327332,248805
2003-07-01 00:00:00,0.7471270000000001,0.7906449999999999,610,611,1858,828,-15183.955025619189,234998
2003-07-08 00:00:00,0.661708,0.80261,583,566,1705,774,-27806.940985533,212432
2003-07-15 00:00:00,0.6795140000000001,0.8361299999999999,545,573,1749,755,-1913.832437448204,209178
2003-07-22 00:00:00,0.633071,0.7924359999999999,501,511,1615,679,-2655.331185284973,203802
2003-07-29 00:00:00,0.569894,0.683588,470,404,1331,658,-50.18821550806752,194708
