date,% WEIGHTED ILI,%UNWEIGHTED ILI,AGE 0-4,AGE 5-24,ILITOTAL,NUM. OF PROVIDERS,RESIDUALS,residuals_36,residuals_48,residuals_60,OT
2002-01-01 00:00:00,1.22262,1.16668,582,805,2060,754,-455871.1199576471,-442859.107650136,-435733.3797845208,-429468.63435831177,176569
2002-01-08 00:00:00,1.33344,1.2165,683,872,2267,785,4766.129432240647,4153.787871338311,2982.191389355896,2728.4536599899875,186355
2002-01-15 00:00:00,1.31929,1.13057,642,878,2176,831,1249.65811256881,744.1125030790281,1374.8188405293622,2461.564719229588,192469
2002-01-22 00:00:00,1.49484,1.25246,728,1045,2599,863,107.91623108409112,-2792.125370517635,886.8369129134808,1966.082795579772,207512
2002-01-29 00:00:00,1.47195,1.30237,823,1189,2907,909,15524.070260971144,15211.885878740286,17954.709486637614,15924.193957163196,223208
2002-02-05 00:00:00,1.58094,1.40551,887,1272,3225,930,1299.1775650229538,141.40228657337138,4955.237216868525,4493.55326842083,229454
2002-02-12 00:00:00,1.49426,1.38437,851,1173,3097,923,-7326.476397528313,-8548.44324134197,-4113.328260937298,-6279.209621366841,223712
2002-02-19 00:00:00,1.40569,1.32563,802,1166,2967,922,-5620.919851069571,-6819.4493185542815,-2247.2148974071897,-4176.533266378625,223818
2002-02-26 00:00:00,1.6141,1.43475,834,978,2709,918,-38479.96420765703,-39773.766022034455,-37317.650666452886,-36004.66006846845,188814
2002-03-05 00:00:00,1.45967,1.25433,857,1117,3049,937,39077.47129792062,40726.29606976721,40809.52685749877,38967.19919780118,243078
2002-03-12 00:00:00,1.59896,1.25757,804,1179,2957,928,-4674.243695392099,-5499.505526943598,4469.04879168942,7292.50879953074,235136
2002-03-19 00:00:00,2.16697,1.58017,951,1404,3416,908,-22635.706964066805,-20727.1154713532,-22424.98886453398,-7912.054319286166,216179
2002-03-26 00:00:00,2.57842,1.98008,915,937,2857,865,-79651.2212836335,-75487.94047502201,-74610.79769753944,-74519.14405847655,144287
